Model,R² Score,MAE
Linear Regression,0.7872492178012143,5501.02167196292
Random Forest,0.7898568197954116,5372.515318838151
Gradient Boosting,0.6838453286082802,8979.985565153022
Lasso Regression,0.8013241316950693,5202.509174370829
